feature,price,count
F17,12990.00,2
F30,12844.50,2
F16,12754.63,8
F98,12598.71,52
F91,12572.41,37
F13,12549.71,59
F111,11882.50,10
F71,11609.08,143
F116,11499.00,1
F112,11245.00,2
F85,11179.63,133
F60,11158.09,76
F28,11044.23,13
F58,11038.21,148
F67,10996.67,3
F104,10852.57,7
F96,10774.95,87
F75,10607.63,16
F47,10501.92,13
F61,10479.64,214
F43,10353.01,208
F90,10223.96,67
F20,10170.26,74
F45,10159.43,193
F78,10042.54,285
F50,9799.25,340
F54,9699.00,1
F106,9697.60,5
F100,9663.35,93
F7,9605.17,392
F36,9515.01,276
F81,9473.78,23
F21,9397.54,313
F40,9394.86,343
F72,9360.00,308
F68,9348.97,461
F51,9317.42,89
F14,9276.25,137
F66,9205.62,226
F93,9205.59,79
F99,9163.43,279
F25,9131.16,249
F59,9048.06,316
F92,9005.01,87
F56,9002.64,53
F48,8990.00,1
F33,8936.84,517
F63,8900.36,11
F4,8827.49,582
F44,8795.00,188
F32,8782.53,15
F101,8695.47,75
F82,8677.60,5
F49,8609.20,228
F18,8582.25,4
F95,8562.36,291
F88,8525.05,262
F39,8513.26,511
F5,8473.12,649
F42,8448.79,38
F69,8436.73,480
F84,8395.71,63
F26,8271.74,27
F46,8258.63,470
F23,8241.74,732
F37,8241.60,180
F79,8233.60,58
F1,8194.43,408
F110,8188.63,8
F70,8086.45,33
F31,8078.92,682
F27,8001.28,842
F19,7970.23,57
F73,7945.14,705
F29,7929.00,7
F76,7922.09,586
F9,7908.92,725
F12,7908.38,791
F6,7888.97,851
F87,7877.95,870
F8,7841.94,819
F80,7797.51,97
F22,7741.05,865
F53,7719.25,902
F2,7688.46,908
F41,7603.63,16
F97,7500.00,2
F94,7419.52,308
F77,7385.39,31
F11,7288.56,163
F52,7202.97,237
F34,7192.20,74
F38,7115.36,11
F64,6737.60,42
F65,6325.51,212
F114,6300.00,2
F107,6292.86,7
F3,6165.50,12
F108,5990.00,1
F103,5500.00,1
F102,4600.00,1
F35,4059.75,4
F105,,0
F55,,0
F10,,0
F109,,0
F57,,0
F89,,0
F15,,0
F24,,0
F117,,0
F115,,0
F83,,0
F113,,0
F62,,0
F74,,0
F86,,0
